Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
VNET,"21Vianet Group, Inc.",5.43,334514900.22,61604954,2011,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/vnet
TWOU,"2U, Inc.",80.33,4234659491.03,n/a,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/twou
DDD,3D Systems Corporation,10.27,1168778038.09,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ddd
JOBS,"51job, Inc.",81.34,2963718149.14,36436171,2004,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/jobs
WUBA,58.com Inc.,84.11,12362703542.15,n/a,2013,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/wuba
ATEN,"A10 Networks, Inc.",6.17,436536446.5,n/a,2014,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/aten
AAN,"Aaron&#39;s,  Inc.",41.79,3033047198.79,n/a,n/a,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/aan
ACIA,"Acacia Communications, Inc.",28.28,1132990265.4,n/a,2016,Technology,Semiconductors,https://www.nasdaq.com/symbol/acia
ACIW,"ACI Worldwide, Inc.",23.53,2727243449.97,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/aciw
ACMR,"ACM Research, Inc.",10.09,155411285.54,n/a,2017,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acmr
ATVI,"Activision Blizzard, Inc",65.79,49910377108.77,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/atvi
ATU,Actuant Corporation,23.5,1426131222.5,n/a,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/atu
ACXM,Acxiom Corporation,26.18,2046087558.9,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/acxm
IOTS,Adesto Technologies Corporation,8.7,186125859.9,n/a,2015,Technology,Semiconductors,https://www.nasdaq.com/symbol/iots
ADBE,Adobe Systems Incorporated,221.9,109279167336.5,n/a,1986,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/adbe
AMD,"Advanced Micro Devices, Inc.",11.11,10767053609.18,n/a,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/amd
AER,Aercap Holdings N.V.,52.59,8045854591.59,n/a,2006,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/aer
ACY,AeroCentury Corp.,15.85,22454679.15,n/a,n/a,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/acy
HIVE,"Aerohive Networks, Inc.",4.08,222873769.92,n/a,2014,Technology,EDP Services,https://www.nasdaq.com/symbol/hive
